id,tweet
2602860537,10 Things Missing In The New Twitter Interface http://bit.ly/bLZXI3 #NewTwitter
2602850443,RT @_NATURALBWINNER OH AND I DONT LIKE THIS #NEWTWITTER SHIT < seeeeeee nobody likes this #newtwitter bullsh** . . eat a dick new twitter !
2602761852,RT @HBO24 yo the #newtwitter is better.. YUPP I SAID IT!<What is new twitter...i m still waitin for su?1 2 fill me in
2602738438,"Aaaaaaaand I have the new twitter! Yay! I should have checked sooner, but I have been busy. I like it! #NewTwitter"
2602684185,can I please have the new twitter? #twitter #newtwitter
2602678435,"Seriously, still no new Twitter layout? How many weeks is this suppose to take?! #newtwitter"
2602600751,"Confieso q el #NewTwitter no me mata, c/vez que veo ""psst the new twitter is here"" (o como sea que dice) lo ignoro esperando a q desaparezc"
2602585892,I have the new twitter. Who else? :) #NewTwitter
2602548822,HOW DO I DOWNLOAD NEW TWITTER? #newtwitter #help #knowledge #thisISshit
2602529998,"same here- urs fixed yet? RT @tamarafarley Hrm, my #lists function doesn't work on the new Twitter. What gives? #newTwitter #fail"
2602486242,When is the new twitter going to rollout to me? #newtwitter
2602434234,Stage 2 RT @celeryjacket: Omg New Twitter is beautiful :O *designgasm* #newtwitter
2602427093,"ps, er, what happened to new twitter embedding pictures? just saying... #newtwitter"
2602382610,I loved writing about #newtwitter with @mikeschaffer & @nakeva (http://bit.ly/cEMBl3) but can I PLEASE get upgraded @twitter? Thx!
2602351386,@adactio hopefully he has the Twitter iPad app by now. I like it even better than the new Twitter :) #newtwitter
2602304053,7 Really Cool Things About The #NewTwitter http://ow.ly/1qYuwg
2602293760,How To Make Backgrounds for #NewTwitter http://bit.ly/9h1c9B via @askdebra @GautamGhosh @shilpiiz @SocialSideMedia
2602291642,7 Really Cool Things About #NewTwitter | @SocialMedia2day http://bit.ly/dCcug6
2605797274,A new Twitter experience is coming! Learn more about it� #NewTwitter << I KNOW JUST GIVE IT TO ME! @Twitter :)
2605784589, #NewTwitter  RT @dwadeofficial: Hey..so I need the new twitter can any1 send it 2 me plz and thank you in advance
2605769279,JUST GOT NEW TWITTER SO EXCITED!!!! #newtwitter
2605718918,@twitter And finally the new Twitter has come to me! WOW!!! http://goo.gl/TrGC #newtwitter
2605716033,@TheOnlyAnil you just block to use #newtwitter reason behind some celeb complain @ev dont give him new twitter lolz
2605705647,"RT @fuckingelle: I don't have #NewTwitter yet :( Being the youngest child, I'll only get Hand-Me-Down Twitter once you've all grown out of"
2605673215,RT @nakeva @iammsparker Did you read our post on #newtwitter http://bit.ly/cEMBl3 ? @alexpriest @itsdarryldsmith @amylizmartin @mikeschaffe
2605667880,RT @NewHighScore: #newtwitter Design Based on the Golden Ratio: http://bit.ly/aAtxid
2605666328,I like the new twitter #newtwitter
2605661480,"New Twitter Is About 50 Percent Rolled Out: http://goo.gl/8Vr9 - Still I have to ask, where's mine? #NewTwitter"
2605593001,I love the new Twitter RT @JKs_sweetcloud: @Shytowne eventually everyone will have the #newtwitter ....sux huh?
2605566041,"SWEET... my ""New"" Twitter just got activated. Going to give it a whirl. #NewTwitter"
2605514919,@iammsparker Did you read our post on #newtwitter http://bit.ly/cEMBl3 ? @alexpriest @itsdarryldsmith @amylizmartin @mikeschaffer
2605512215,#octoberwish get the new twitter sometime this month! #newtwitter
2605407147,Oh bliss. New Twitter as a Fluid app. My new desktop Twitter interface for my Mac. No fuss. No jazz. Perfect. Simple. #newtwitter
2605402808,#newtwitter this is the reason why new twitter is better http://www.youtube.com/watch?v=E_wNpSpJEr8
2605402392,"#newtwitter is skeered of ""The Eye"". So is ""The Tiki"". RT @nikole13: Why don't I have new twitter yet? WHY DOESN'T GOD LOVE ME?"
2605342892,Ummm so what is new twitter....I'm so confused! #NewTwitter
2605292929,"The new twitter is fat. Stop trying to make me use it, twitter. #newtwitter"
2605285296,"#newtwitter adds a whole new dimension to microblogging. Check the shortcuts, we found this guide for you Tweeps  http://bit.ly/bLxumH"
2605269376,The subliminal reason I love the #newtwitter design! http://t.co/1LRTpVm via @mashdevdesign @mashable
2605264075,The new twitter is cool! #newtwitter
2605252639,I don't understand the new twitter interface... Where are the reply and re-tweet buttons?  #newtwitter
2605230286,"I've got the #newtwitter! @MPongco @maryannewendt @JPongco  @alexcortez @RaquelMarieee Any of you guys have the ""new"" #twitter yet?"
2605225421,#NewTwitter just rolled out. Heres a preview of how we look on the new twitter. http://fb.me/JNygeyXH
2605193516,RT @asalothman: likes the new twitter :) .. #NewTwitter
2605188424,I like the UI for new twitter #NewTwitter
2605158065,RT @meetkochar: and tomorrow wn i log in... i need new twitter... did u hear that???... hmmmm betterrr.... #newtwitter
2605127483,No backlash from moi cuz #NewTwitter rules! RT @TechCrunch New Twitter ~50%Rolled Out.Where's Facebook-Style Backlash? http://tcrn.ch/dyAo7
2605102139,I finally have the new Twitter! It's pretty awesome! #NewTwitter
2605058990,Bugtracking.. Let's make things straight - new Twitter has too much stupid bugs and it shouldn't be released in this form. #newtwitter
2604947977,Good to know RT @CarlaYoung New to #NewTwitter? A few ideas on how to take full advantage of the new features... http://ow.ly/2MI6c
2604939685,new twitter   #newtwitter
2604935056,"New blog post  ""New Twitter"" backgrounds completed. [portfolio shots] http://ow.ly/2MImo #newtwitter #design"
2604925089,some people don't like the new twitter? i don't even have the #newtwitter . lol
2604901508,@Jigglybits1914 Try this one: #NewTwitter Introduction http://ow.ly/2MIi4
2604890567,"RT @twitter: Today we�re launching a new Twitter.com�a faster, easier, and richer way to discover what�s new in your world. #NewTwitter"
2604875100,RT @CarlaYoung: New to #NewTwitter? A few ideas on how to take full advantage of the new features... http://ow.ly/2MI6c
2604847192,|| hmm... #NewTwitter || http://bit.ly/912nFN
2604815809,New to #NewTwitter? A few ideas on how to take full advantage of the new features... http://ow.ly/2MI6c
2604805874,RT @amylizmartin: I loved writing about #newtwitter with @mikeschaffer & @nakeva (http://bit.ly/cEMBl3) but can I PLEASE get upgraded @twit
2604764279,Giving the #NewTwitter a try for the first time! Lovin' the new Layout and #Design! Have you given the New Twitter a try yet?
2604755798,Here is a #photoshop #template of the #newtwitter interface to easily customize your background - http://bit.ly/cuOjZ1
2604749911,I'm I the only one who hasn't gotten the new twitter??? #newtwitter
2604705829,RT @youthinking: ~      RT @mashable: New Twitter Design Based on the Golden Ratio [IMAGE] - http://mash.to/2LHbx #n
2604693305,This new Twitter is pretty sweet #newtwitter
2604685477,RT @MsPanamaBOMB: New twitter sucks monkey dick < lol i still havent been able to see the #newtwitter =P
2604543255,What do you guys think about the new Twitter?  Love it? Hate it? Let me know your thoughts! #newtwitter
2604528218,@ReginoFerrari New twitter is mean. And I can't go back to the original one! #NewTwitter is a douched up version of the twitter I love!
2604525990,I love #newtwitter RT @T2daK: This new twitter for the web is not bad.  I think i likes.
